0	84
1.014	70
1.995	63
3.006	61
3.997	67
4.977	70
5.983	81
6.984	69
7.971	74
8.959	70
9.988	64
10.961	88
11.948	80
12.947	77
13.937	74
14.952	54
15.914	60
16.92	81
17.944	74
18.926	61
19.92	51
20.921	41
21.913	56
22.895	70
23.911	61
24.9	50
25.882	47
26.898	41
27.892	51
28.867	53
29.868	47
30.865	47
31.884	50
32.849	47
33.859	50
34.861	47
35.838	50
36.849	41
37.837	41
38.815	44
39.836	27
40.828	41
41.818	40
42.799	43
43.804	44
44.801	40
45.811	47
46.807	35
47.805	44
48.799	44
49.79	30
50.76	41
51.782	37
52.75	35
53.767	53
54.769	48
55.753	60
56.749	56
57.757	53
58.725	54
