0	40
1.014	40
1.995	43
3.006	23
3.997	20
4.977	16
5.983	24
6.984	34
7.971	27
8.959	34
9.988	29
10.961	44
11.948	41
12.947	35
13.937	29
14.952	23
15.914	35
16.92	30
17.944	27
18.926	23
19.92	17
20.921	27
21.913	47
22.895	66
23.911	54
24.9	51
25.882	50
26.898	30
27.892	37
28.867	35
29.868	41
30.865	47
31.884	61
32.849	56
33.859	54
34.861	69
35.838	70
36.849	75
37.837	67
38.815	60
39.836	54
40.828	54
41.818	56
42.799	57
43.804	57
44.801	67
45.811	67
46.807	61
47.805	64
48.799	57
49.79	44
50.76	64
51.782	66
52.75	80
53.767	88
54.769	74
55.753	78
56.749	67
57.757	57
58.725	47
